ETL_Mobility,ETL_Doping,HTL_Mobility,HTL_Doping,PCE,VOC,JSC,FF
4.00E-03,1.00E+17,4.00E-03,1.00E+18,20.42116,1.04869,22.66311,85.92363
4.00E-03,1.00E+17,4.00E-03,1.00E+19,21.7228,1.09465,22.66242,87.5654
4.00E-03,1.00E+17,8.62E-03,1.00E+15,16.57917,1.01726,22.7437,71.65875
4.00E-03,1.00E+17,8.62E-03,1.00E+16,18.15328,1.01828,22.68916,78.57251
4.00E-03,1.00E+17,8.62E-03,1.00E+17,19.27039,1.02409,22.66602,83.01878
4.00E-03,1.00E+17,8.62E-03,1.00E+18,20.42538,1.04869,22.6631,85.94162
4.00E-03,1.00E+17,8.62E-03,1.00E+19,21.7233,1.09465,22.66242,87.56747
4.00E-03,1.00E+17,1.86E-02,1.00E+15,17.42657,1.01734,22.74987,75.2948
4.00E-03,1.00E+17,1.86E-02,1.00E+16,18.3733,1.01827,22.68933,79.52462
4.00E-03,1.00E+17,1.86E-02,1.00E+17,19.29518,1.02409,22.66595,83.12612
4.00E-03,1.00E+17,1.86E-02,1.00E+18,20.42732,1.04869,22.66309,85.94991
4.00E-03,1.00E+17,1.86E-02,1.00E+19,21.72354,1.09465,22.66242,87.56843
4.00E-03,1.00E+17,4.00E-02,1.00E+15,17.90097,1.01737,22.75323,77.33094
4.00E-03,1.00E+17,4.00E-02,1.00E+16,18.48583,1.01827,22.68948,80.01155
4.00E-03,1.00E+17,4.00E-02,1.00E+17,19.30643,1.02409,22.66592,83.17483
4.00E-03,1.00E+17,4.00E-02,1.00E+18,20.42822,1.04869,22.66309,85.95375
4.00E-03,1.00E+17,4.00E-02,1.00E+19,21.72365,1.09465,22.66242,87.56888
4.00E-03,1.00E+17,8.62E-02,1.00E+15,18.1271,1.01738,22.75496,78.30144
4.00E-03,1.00E+17,8.62E-02,1.00E+16,18.53523,1.01826,22.68957,80.22526
4.00E-03,1.00E+17,8.62E-02,1.00E+17,19.31159,1.02409,22.66591,83.1972
4.00E-03,1.00E+17,8.62E-02,1.00E+18,20.42864,1.04869,22.66308,85.95553
4.00E-03,1.00E+17,8.62E-02,1.00E+19,21.7237,1.09465,22.66242,87.56908
4.00E-03,1.00E+17,1.86E-01,1.00E+15,18.26592,1.01738,22.75591,78.898
4.00E-03,1.00E+17,1.86E-01,1.00E+16,18.55755,1.01826,22.68962,80.32185
4.00E-03,1.00E+17,1.86E-01,1.00E+17,19.31398,1.02408,22.6659,83.20754
4.00E-03,1.00E+17,1.86E-01,1.00E+18,20.42883,1.04869,22.66308,85.95636
4.00E-03,1.00E+17,1.86E-01,1.00E+19,21.72372,1.09465,22.66242,87.56918
4.00E-03,1.00E+17,4.00E-01,1.00E+15,18.32848,1.01737,22.75652,79.1663
4.00E-03,1.00E+17,4.00E-01,1.00E+16,18.56778,1.01826,22.68964,80.36612
4.00E-03,1.00E+17,4.00E-01,1.00E+17,19.31508,1.02408,22.6659,83.21232
4.00E-03,1.00E+17,4.00E-01,1.00E+18,20.42892,1.04869,22.66308,85.95674
4.00E-03,1.00E+17,4.00E-01,1.00E+19,21.72373,1.09465,22.66242,87.56922
4.00E-03,1.00E+17,8.62E-01,1.00E+15,18.35709,1.01737,22.75697,79.28843
4.00E-03,1.00E+17,8.62E-01,1.00E+16,18.5725,1.01826,22.68965,80.38655
4.00E-03,1.00E+17,8.62E-01,1.00E+17,19.31559,1.02408,22.6659,83.21454
4.00E-03,1.00E+17,8.62E-01,1.00E+18,20.42896,1.04869,22.66308,85.95692
4.00E-03,1.00E+17,8.62E-01,1.00E+19,21.72374,1.09465,22.66242,87.56924
4.00E-03,1.00E+17,1.86E+00,1.00E+15,18.37028,1.01737,22.75734,79.34418
4.00E-03,1.00E+17,1.86E+00,1.00E+16,18.57469,1.01826,22.68966,80.396
4.00E-03,1.00E+17,1.86E+00,1.00E+17,19.31583,1.02408,22.6659,83.21557
4.00E-03,1.00E+17,1.86E+00,1.00E+18,20.42898,1.04869,22.66308,85.957
4.00E-03,1.00E+17,1.86E+00,1.00E+19,21.72374,1.09465,22.66242,87.56925
4.00E-03,1.00E+17,4.00E+00,1.00E+15,18.37638,1.01737,22.75763,79.36957
4.00E-03,1.00E+17,4.00E+00,1.00E+16,18.5757,1.01826,22.68966,80.40038
4.00E-03,1.00E+17,4.00E+00,1.00E+17,19.31594,1.02408,22.6659,83.21605
4.00E-03,1.00E+17,4.00E+00,1.00E+18,20.42899,1.04869,22.66308,85.95704
4.00E-03,1.00E+17,4.00E+00,1.00E+19,21.72374,1.09465,22.66242,87.56926
4.00E-03,1.00E+18,4.00E-03,1.00E+15,15.42291,1.01709,22.73449,66.69951
4.00E-03,1.00E+18,4.00E-03,1.00E+16,17.87779,1.01829,22.69017,77.37583
4.00E-03,1.00E+18,4.00E-03,1.00E+17,19.40168,1.02407,22.66647,83.58428
4.00E-03,1.00E+18,4.00E-03,1.00E+18,20.6665,1.04856,22.66343,86.96573
4.00E-03,1.00E+18,4.00E-03,1.00E+19,21.9298,1.09448,22.66268,88.4131
4.00E-03,1.00E+18,8.62E-03,1.00E+15,16.78215,1.01726,22.74428,72.53447
4.00E-03,1.00E+18,8.62E-03,1.00E+16,18.34883,1.01828,22.69013,79.41559
4.00E-03,1.00E+18,8.62E-03,1.00E+17,19.44754,1.02405,22.66633,83.7839
4.00E-03,1.00E+18,8.62E-03,1.00E+18,20.6727,1.04855,22.66341,86.99252
4.00E-03,1.00E+18,8.62E-03,1.00E+19,21.93055,1.09448,22.66268,88.41625
4.00E-03,1.00E+18,1.86E-02,1.00E+15,17.60426,1.01736,22.75043,76.0597
4.00E-03,1.00E+18,1.86E-02,1.00E+16,18.58249,1.01826,22.69034,80.42713
4.00E-03,1.00E+18,1.86E-02,1.00E+17,19.48142,1.02404,22.66627,83.93095
4.00E-03,1.00E+18,1.86E-02,1.00E+18,20.67556,1.04855,22.66341,87.00489
4.00E-03,1.00E+18,1.86E-02,1.00E+19,21.9309,1.09448,22.66268,88.41772
4.00E-03,1.00E+18,4.00E-02,1.00E+15,18.08284,1.01737,22.75377,78.11469
4.00E-03,1.00E+18,4.00E-02,1.00E+16,18.6783,1.01825,22.69051,80.84216
4.00E-03,1.00E+18,4.00E-02,1.00E+17,19.49681,1.02404,22.66624,83.9978
4.00E-03,1.00E+18,4.00E-02,1.00E+18,20.67688,1.04855,22.6634,87.01061
4.00E-03,1.00E+18,4.00E-02,1.00E+19,21.93106,1.09447,22.66268,88.4184
4.00E-03,1.00E+18,8.62E-02,1.00E+15,18.34689,1.01737,22.7555,79.24993
4.00E-03,1.00E+18,8.62E-02,1.00E+16,18.72012,1.01824,22.69061,81.02341
4.00E-03,1.00E+18,8.62E-02,1.00E+17,19.50388,1.02404,22.66622,84.02854
4.00E-03,1.00E+18,8.62E-02,1.00E+18,20.67749,1.04855,22.6634,87.01327
4.00E-03,1.00E+18,8.62E-02,1.00E+19,21.93114,1.09447,22.66268,88.41871
4.00E-03,1.00E+18,1.86E-01,1.00E+15,18.46767,1.01735,22.75645,79.76943
4.00E-03,1.00E+18,1.86E-01,1.00E+16,18.73897,1.01824,22.69067,81.10515
4.00E-03,1.00E+18,1.86E-01,1.00E+17,19.50715,1.02403,22.66622,84.04274
4.00E-03,1.00E+18,1.86E-01,1.00E+18,20.67778,1.04854,22.6634,87.0145
4.00E-03,1.00E+18,1.86E-01,1.00E+19,21.93117,1.09447,22.66268,88.41886
4.00E-03,1.00E+18,4.00E-01,1.00E+15,18.52189,1.01734,22.75705,80.0023
4.00E-03,1.00E+18,4.00E-01,1.00E+16,18.7476,1.01824,22.69069,81.14258
4.00E-03,1.00E+18,4.00E-01,1.00E+17,19.50866,1.02403,22.66621,84.04932
4.00E-03,1.00E+18,4.00E-01,1.00E+18,20.67791,1.04854,22.6634,87.01507
4.00E-03,1.00E+18,4.00E-01,1.00E+19,21.93119,1.09447,22.66268,88.41893
4.00E-03,1.00E+18,8.62E-01,1.00E+15,18.54665,1.01734,22.75751,80.10805
4.00E-03,1.00E+18,8.62E-01,1.00E+16,18.75158,1.01824,22.69071,81.15985
4.00E-03,1.00E+18,8.62E-01,1.00E+17,19.50936,1.02403,22.66621,84.05237
4.00E-03,1.00E+18,8.62E-01,1.00E+18,20.67797,1.04854,22.6634,87.01534
4.00E-03,1.00E+18,8.62E-01,1.00E+19,21.9312,1.09447,22.66268,88.41896
4.00E-03,1.00E+18,1.86E+00,1.00E+15,18.55805,1.01733,22.75789,80.15621
4.00E-03,1.00E+18,1.86E+00,1.00E+16,18.75358,1.01824,22.69071,81.1685
4.00E-03,1.00E+18,1.86E+00,1.00E+17,19.50969,1.02403,22.66621,84.05378
4.00E-03,1.00E+18,1.86E+00,1.00E+18,20.678,1.04854,22.6634,87.01546
4.00E-03,1.00E+18,1.86E+00,1.00E+19,21.9312,1.09447,22.66268,88.41897
4.00E-03,1.00E+18,4.00E+00,1.00E+15,18.56333,1.01733,22.75818,80.17805
4.00E-03,1.00E+18,4.00E+00,1.00E+16,18.75486,1.01824,22.69071,81.17404
4.00E-03,1.00E+18,4.00E+00,1.00E+17,19.50984,1.02403,22.66621,84.05444
4.00E-03,1.00E+18,4.00E+00,1.00E+18,20.67801,1.04854,22.6634,87.01552
4.00E-03,1.00E+18,4.00E+00,1.00E+19,21.9312,1.09447,22.66268,88.41898
4.00E-03,1.00E+19,4.00E-03,1.00E+15,15.43307,1.01709,22.73533,66.74064
4.00E-03,1.00E+19,4.00E-03,1.00E+16,17.89018,1.01829,22.69103,77.42621
4.00E-03,1.00E+19,4.00E-03,1.00E+17,19.41102,1.02407,22.66724,83.6218
4.00E-03,1.00E+19,4.00E-03,1.00E+18,20.67885,1.04855,22.66416,87.01594
4.00E-03,1.00E+19,4.00E-03,1.00E+19,21.94467,1.09446,22.66344,88.47145
4.00E-03,1.00E+19,8.62E-03,1.00E+15,16.79352,1.01726,22.74512,72.58096
4.00E-03,1.00E+19,8.62E-03,1.00E+16,18.36158,1.01828,22.691,79.4677
4.00E-03,1.00E+19,8.62E-03,1.00E+17,19.46246,1.02405,22.6671,83.84555
4.00E-03,1.00E+19,8.62E-03,1.00E+18,20.68494,1.04854,22.66415,87.04235
4.00E-03,1.00E+19,8.62E-03,1.00E+19,21.94541,1.09446,22.66344,88.47456
4.00E-03,1.00E+19,1.86E-02,1.00E+15,17.61383,1.01736,22.75127,76.09802
4.00E-03,1.00E+19,1.86E-02,1.00E+16,18.59331,1.01826,22.69121,80.4708
4.00E-03,1.00E+19,1.86E-02,1.00E+17,19.49593,1.02404,22.66704,83.99089
4.00E-03,1.00E+19,1.86E-02,1.00E+18,20.68775,1.04853,22.66414,87.05454
4.00E-03,1.00E+19,1.86E-02,1.00E+19,21.94575,1.09446,22.66344,88.476
4.00E-03,1.00E+19,4.00E-02,1.00E+15,18.09239,1.01737,22.7546,78.15308
4.00E-03,1.00E+19,4.00E-02,1.00E+16,18.68826,1.01825,22.69139,80.88216
4.00E-03,1.00E+19,4.00E-02,1.00E+17,19.51113,1.02403,22.66701,84.05696
4.00E-03,1.00E+19,4.00E-02,1.00E+18,20.68905,1.04853,22.66414,87.06019
4.00E-03,1.00E+19,4.00E-02,1.00E+19,21.94591,1.09446,22.66344,88.47667
4.00E-03,1.00E+19,8.62E-02,1.00E+15,18.35836,1.01737,22.75633,79.29658
4.00E-03,1.00E+19,8.62E-02,1.00E+16,18.7297,1.01824,22.6915,81.06176
4.00E-03,1.00E+19,8.62E-02,1.00E+17,19.51811,1.02403,22.66699,84.08733
4.00E-03,1.00E+19,8.62E-02,1.00E+18,20.68965,1.04853,22.66414,87.06281
4.00E-03,1.00E+19,8.62E-02,1.00E+19,21.94599,1.09446,22.66344,88.47698
4.00E-03,1.00E+19,1.86E-01,1.00E+15,18.47821,1.01735,22.75728,79.81211
4.00E-03,1.00E+19,1.86E-01,1.00E+16,18.74837,1.01824,22.69155,81.14276
4.00E-03,1.00E+19,1.86E-01,1.00E+17,19.52134,1.02403,22.66699,84.10136
4.00E-03,1.00E+19,1.86E-01,1.00E+18,20.68993,1.04853,22.66414,87.06402
4.00E-03,1.00E+19,1.86E-01,1.00E+19,21.94602,1.09446,22.66344,88.47713
4.00E-03,1.00E+19,4.00E-01,1.00E+15,18.53201,1.01734,22.75789,80.04317
4.00E-03,1.00E+19,4.00E-01,1.00E+16,18.75861,1.01824,22.69158,81.18715
4.00E-03,1.00E+19,4.00E-01,1.00E+17,19.52283,1.02403,22.66698,84.10786
4.00E-03,1.00E+19,4.00E-01,1.00E+18,20.69006,1.04853,22.66414,87.06458
4.00E-03,1.00E+19,4.00E-01,1.00E+19,21.94604,1.09446,22.66344,88.47719
4.00E-03,1.00E+19,8.62E-01,1.00E+15,18.55657,1.01733,22.75835,80.14809
4.00E-03,1.00E+19,8.62E-01,1.00E+16,18.76452,1.01824,22.69159,81.21274
4.00E-03,1.00E+19,8.62E-01,1.00E+17,19.52353,1.02403,22.66698,84.11088
4.00E-03,1.00E+19,8.62E-01,1.00E+18,20.69012,1.04853,22.66414,87.06484
4.00E-03,1.00E+19,8.62E-01,1.00E+19,21.94605,1.09446,22.66344,88.47723
4.00E-03,1.00E+19,1.86E+00,1.00E+15,18.56788,1.01733,22.75872,80.19587
4.00E-03,1.00E+19,1.86E+00,1.00E+16,18.76725,1.01824,22.69159,81.22459
4.00E-03,1.00E+19,1.86E+00,1.00E+17,19.52385,1.02403,22.66698,84.11227
4.00E-03,1.00E+19,1.86E+00,1.00E+18,20.69015,1.04853,22.66414,87.06497
4.00E-03,1.00E+19,1.86E+00,1.00E+19,21.94605,1.09446,22.66344,88.47724
4.00E-03,1.00E+19,4.00E+00,1.00E+15,18.57311,1.01733,22.75901,80.21753
